value,id,unit
2.3,PRESSURE_SENSOR_001,bar
6.16,PRESSURE_SENSOR_001,bar
3.16,PRESSURE_SENSOR_001,bar
4.66,PRESSURE_SENSOR_001,bar
3.59,PRESSURE_SENSOR_001,bar
5.76,PRESSURE_SENSOR_001,bar
2.87,PRESSURE_SENSOR_001,bar
5.5,PRESSURE_SENSOR_001,bar
7.8,PRESSURE_SENSOR_001,bar
6.89,PRESSURE_SENSOR_001,bar
7.25,PRESSURE_SENSOR_001,bar
4.38,PRESSURE_SENSOR_001,bar
4.14,PRESSURE_SENSOR_001,bar
6.73,PRESSURE_SENSOR_001,bar
4.86,PRESSURE_SENSOR_001,bar
6.54,PRESSURE_SENSOR_001,bar
5.18,PRESSURE_SENSOR_001,bar
4.62,PRESSURE_SENSOR_001,bar
3.0,PRESSURE_SENSOR_001,bar
7.28,PRESSURE_SENSOR_001,bar
7.51,PRESSURE_SENSOR_001,bar
3.57,PRESSURE_SENSOR_001,bar
7.05,PRESSURE_SENSOR_001,bar
2.59,PRESSURE_SENSOR_001,bar
2.72,PRESSURE_SENSOR_001,bar
2.65,PRESSURE_SENSOR_001,bar
2.73,PRESSURE_SENSOR_001,bar
5.85,PRESSURE_SENSOR_001,bar
5.45,PRESSURE_SENSOR_001,bar
6.41,PRESSURE_SENSOR_001,bar
4.42,PRESSURE_SENSOR_001,bar
5.46,PRESSURE_SENSOR_001,bar
3.4,PRESSURE_SENSOR_001,bar
2.26,PRESSURE_SENSOR_001,bar
6.36,PRESSURE_SENSOR_001,bar
6.46,PRESSURE_SENSOR_001,bar
2.73,PRESSURE_SENSOR_001,bar
7.96,PRESSURE_SENSOR_001,bar
4.25,PRESSURE_SENSOR_001,bar
7.04,PRESSURE_SENSOR_001,bar
3.76,PRESSURE_SENSOR_001,bar
6.54,PRESSURE_SENSOR_001,bar
7.97,PRESSURE_SENSOR_001,bar
5.75,PRESSURE_SENSOR_001,bar
7.69,PRESSURE_SENSOR_001,bar
7.78,PRESSURE_SENSOR_001,bar
6.83,PRESSURE_SENSOR_001,bar
3.07,PRESSURE_SENSOR_001,bar
7.34,PRESSURE_SENSOR_001,bar
3.45,PRESSURE_SENSOR_001,bar
4.81,PRESSURE_SENSOR_001,bar
6.87,PRESSURE_SENSOR_001,bar
7.88,PRESSURE_SENSOR_001,bar
6.66,PRESSURE_SENSOR_001,bar
7.75,PRESSURE_SENSOR_001,bar
2.97,PRESSURE_SENSOR_001,bar
6.54,PRESSURE_SENSOR_001,bar
3.46,PRESSURE_SENSOR_001,bar
3.41,PRESSURE_SENSOR_001,bar
6.86,PRESSURE_SENSOR_001,bar
4.13,PRESSURE_SENSOR_001,bar
4.61,PRESSURE_SENSOR_001,bar
2.75,PRESSURE_SENSOR_001,bar
4.37,PRESSURE_SENSOR_001,bar
6.27,PRESSURE_SENSOR_001,bar
4.86,PRESSURE_SENSOR_001,bar
4.27,PRESSURE_SENSOR_001,bar
7.97,PRESSURE_SENSOR_001,bar
3.72,PRESSURE_SENSOR_001,bar
7.73,PRESSURE_SENSOR_001,bar
7.16,PRESSURE_SENSOR_001,bar
3.79,PRESSURE_SENSOR_001,bar
4.08,PRESSURE_SENSOR_001,bar
5.3,PRESSURE_SENSOR_001,bar
4.16,PRESSURE_SENSOR_001,bar
3.98,PRESSURE_SENSOR_001,bar
2.44,PRESSURE_SENSOR_001,bar
4.6,PRESSURE_SENSOR_001,bar
6.07,PRESSURE_SENSOR_001,bar
6.88,PRESSURE_SENSOR_001,bar
5.02,PRESSURE_SENSOR_001,bar
5.1,PRESSURE_SENSOR_001,bar
7.59,PRESSURE_SENSOR_001,bar
6.97,PRESSURE_SENSOR_001,bar
4.23,PRESSURE_SENSOR_001,bar
3.39,PRESSURE_SENSOR_001,bar
8.0,PRESSURE_SENSOR_001,bar
3.0,PRESSURE_SENSOR_001,bar
7.6,PRESSURE_SENSOR_001,bar
6.8,PRESSURE_SENSOR_001,bar
2.87,PRESSURE_SENSOR_001,bar
6.0,PRESSURE_SENSOR_001,bar
7.44,PRESSURE_SENSOR_001,bar
5.31,PRESSURE_SENSOR_001,bar
2.44,PRESSURE_SENSOR_001,bar
5.15,PRESSURE_SENSOR_001,bar
5.3,PRESSURE_SENSOR_001,bar
6.57,PRESSURE_SENSOR_001,bar
3.08,PRESSURE_SENSOR_001,bar
2.35,PRESSURE_SENSOR_001,bar
7.2,PRESSURE_SENSOR_001,bar
3.93,PRESSURE_SENSOR_001,bar
7.23,PRESSURE_SENSOR_001,bar
7.99,PRESSURE_SENSOR_001,bar
5.03,PRESSURE_SENSOR_001,bar
6.06,PRESSURE_SENSOR_001,bar
5.25,PRESSURE_SENSOR_001,bar
7.93,PRESSURE_SENSOR_001,bar
2.62,PRESSURE_SENSOR_001,bar
4.42,PRESSURE_SENSOR_001,bar
4.2,PRESSURE_SENSOR_001,bar
6.83,PRESSURE_SENSOR_001,bar
7.97,PRESSURE_SENSOR_001,bar
7.45,PRESSURE_SENSOR_001,bar
3.21,PRESSURE_SENSOR_001,bar
3.98,PRESSURE_SENSOR_001,bar
3.49,PRESSURE_SENSOR_001,bar
7.74,PRESSURE_SENSOR_001,bar
3.21,PRESSURE_SENSOR_001,bar
4.41,PRESSURE_SENSOR_001,bar
4.35,PRESSURE_SENSOR_001,bar
5.9,PRESSURE_SENSOR_001,bar
3.93,PRESSURE_SENSOR_001,bar
7.4,PRESSURE_SENSOR_001,bar
7.68,PRESSURE_SENSOR_001,bar
7.66,PRESSURE_SENSOR_001,bar
3.59,PRESSURE_SENSOR_001,bar
5.47,PRESSURE_SENSOR_001,bar
2.72,PRESSURE_SENSOR_001,bar
3.29,PRESSURE_SENSOR_001,bar
5.9,PRESSURE_SENSOR_001,bar
5.68,PRESSURE_SENSOR_001,bar
4.18,PRESSURE_SENSOR_001,bar
5.25,PRESSURE_SENSOR_001,bar
3.7,PRESSURE_SENSOR_001,bar
4.01,PRESSURE_SENSOR_001,bar
3.98,PRESSURE_SENSOR_001,bar
5.88,PRESSURE_SENSOR_001,bar
3.01,PRESSURE_SENSOR_001,bar
4.53,PRESSURE_SENSOR_001,bar
5.69,PRESSURE_SENSOR_001,bar
6.36,PRESSURE_SENSOR_001,bar
6.89,PRESSURE_SENSOR_001,bar
3.25,PRESSURE_SENSOR_001,bar
7.95,PRESSURE_SENSOR_001,bar
7.53,PRESSURE_SENSOR_001,bar
6.98,PRESSURE_SENSOR_001,bar
2.79,PRESSURE_SENSOR_001,bar
2.47,PRESSURE_SENSOR_001,bar
6.93,PRESSURE_SENSOR_001,bar
5.77,PRESSURE_SENSOR_001,bar
2.4,PRESSURE_SENSOR_001,bar
4.04,PRESSURE_SENSOR_001,bar
6.61,PRESSURE_SENSOR_001,bar
6.17,PRESSURE_SENSOR_001,bar
3.75,PRESSURE_SENSOR_001,bar
8.0,PRESSURE_SENSOR_001,bar
3.36,PRESSURE_SENSOR_001,bar
5.67,PRESSURE_SENSOR_001,bar
6.04,PRESSURE_SENSOR_001,bar
2.0,PRESSURE_SENSOR_001,bar
7.76,PRESSURE_SENSOR_001,bar
7.17,PRESSURE_SENSOR_001,bar
7.75,PRESSURE_SENSOR_001,bar
3.16,PRESSURE_SENSOR_001,bar
6.43,PRESSURE_SENSOR_001,bar
7.04,PRESSURE_SENSOR_001,bar
7.91,PRESSURE_SENSOR_001,bar
5.67,PRESSURE_SENSOR_001,bar
7.33,PRESSURE_SENSOR_001,bar
7.65,PRESSURE_SENSOR_001,bar
5.25,PRESSURE_SENSOR_001,bar
5.75,PRESSURE_SENSOR_001,bar
4.62,PRESSURE_SENSOR_001,bar
2.7,PRESSURE_SENSOR_001,bar
4.84,PRESSURE_SENSOR_001,bar
4.55,PRESSURE_SENSOR_001,bar
4.89,PRESSURE_SENSOR_001,bar
5.32,PRESSURE_SENSOR_001,bar
6.31,PRESSURE_SENSOR_001,bar
7.07,PRESSURE_SENSOR_001,bar
4.56,PRESSURE_SENSOR_001,bar
2.73,PRESSURE_SENSOR_001,bar
6.54,PRESSURE_SENSOR_001,bar
2.44,PRESSURE_SENSOR_001,bar
6.58,PRESSURE_SENSOR_001,bar
5.92,PRESSURE_SENSOR_001,bar
2.98,PRESSURE_SENSOR_001,bar
8.0,PRESSURE_SENSOR_001,bar
5.84,PRESSURE_SENSOR_001,bar
5.44,PRESSURE_SENSOR_001,bar
3.54,PRESSURE_SENSOR_001,bar
6.26,PRESSURE_SENSOR_001,bar
2.19,PRESSURE_SENSOR_001,bar
6.0,PRESSURE_SENSOR_001,bar
4.67,PRESSURE_SENSOR_001,bar
7.32,PRESSURE_SENSOR_001,bar
5.51,PRESSURE_SENSOR_001,bar
2.26,PRESSURE_SENSOR_001,bar
5.73,PRESSURE_SENSOR_001,bar
2.89,PRESSURE_SENSOR_001,bar
7.41,PRESSURE_SENSOR_001,bar
3.82,PRESSURE_SENSOR_001,bar
2.51,PRESSURE_SENSOR_001,bar
7.57,PRESSURE_SENSOR_001,bar
6.64,PRESSURE_SENSOR_001,bar
5.4,PRESSURE_SENSOR_001,bar
5.19,PRESSURE_SENSOR_001,bar
3.4,PRESSURE_SENSOR_001,bar
4.55,PRESSURE_SENSOR_001,bar
5.5,PRESSURE_SENSOR_001,bar
6.5,PRESSURE_SENSOR_001,bar
4.68,PRESSURE_SENSOR_001,bar
7.18,PRESSURE_SENSOR_001,bar
2.98,PRESSURE_SENSOR_001,bar
7.78,PRESSURE_SENSOR_001,bar
7.55,PRESSURE_SENSOR_001,bar
6.73,PRESSURE_SENSOR_001,bar
7.13,PRESSURE_SENSOR_001,bar
4.71,PRESSURE_SENSOR_001,bar
2.03,PRESSURE_SENSOR_001,bar
6.28,PRESSURE_SENSOR_001,bar
4.97,PRESSURE_SENSOR_001,bar
7.78,PRESSURE_SENSOR_001,bar
3.27,PRESSURE_SENSOR_001,bar
2.19,PRESSURE_SENSOR_001,bar
5.09,PRESSURE_SENSOR_001,bar
2.79,PRESSURE_SENSOR_001,bar
6.27,PRESSURE_SENSOR_001,bar
4.42,PRESSURE_SENSOR_001,bar
3.0,PRESSURE_SENSOR_001,bar
5.42,PRESSURE_SENSOR_001,bar
3.5,PRESSURE_SENSOR_001,bar
4.0,PRESSURE_SENSOR_001,bar
6.34,PRESSURE_SENSOR_001,bar
4.64,PRESSURE_SENSOR_001,bar
5.91,PRESSURE_SENSOR_001,bar
2.98,PRESSURE_SENSOR_001,bar
6.17,PRESSURE_SENSOR_001,bar
4.31,PRESSURE_SENSOR_001,bar
2.39,PRESSURE_SENSOR_001,bar
4.88,PRESSURE_SENSOR_001,bar
7.27,PRESSURE_SENSOR_001,bar
4.65,PRESSURE_SENSOR_001,bar
5.91,PRESSURE_SENSOR_001,bar
6.29,PRESSURE_SENSOR_001,bar
7.47,PRESSURE_SENSOR_001,bar
3.83,PRESSURE_SENSOR_001,bar
6.28,PRESSURE_SENSOR_001,bar
4.97,PRESSURE_SENSOR_001,bar
7.0,PRESSURE_SENSOR_001,bar
6.15,PRESSURE_SENSOR_001,bar
6.86,PRESSURE_SENSOR_001,bar
